_id,name,email,password,isAdmin,createdAt,updatedAt,__v
6507041c91edc80870982105,amine,amine@fake.com,$2a$10$QTCA1c83Ju9H9YtcE83xgufEStu4MUoMi6tTj4Pt.JPrZTu2hvweK,false,2020-09-17T13:50:20.997Z,2022-09-17T13:50:20.997Z,0
6507044391edc80870982107,naima,naima@fake.com,$2a$10$5N27HrcS6z5VH1aUbByvLenQZiHC6tt15avYjEb9YbWcL6zX7n5K2,false,2020-09-17T13:50:59.675Z,2022-09-17T13:50:59.675Z,0
65070bf891edc80870982109,sassa,sara@fake.com,$2a$10$V2kWVBhKolaRXqH6MzBQxOmYp8zpaKrpDmknDqX1GlNMvFQ.J/0nW,false,2020-09-17T14:23:52.625Z,2022-10-16T08:47:27.083Z,0
65070c7391edc8087098210b,user,user@fake.com,$2a$10$Ps0i0lZL1XqfhV6O31ZxLur2UUDXIMk2oyZGwZgXIes3A5mGQWU1.,false,2021-09-17T14:25:55.624Z,2022-10-07T20:18:41.277Z,0
65070f7e91edc8087098210d,tata,tata@fake.com,$2a$10$f6UwAl2o423hu0dUignhpu8GTSTP28p5gx9JqAudKAWEcMaVvdS0y,false,2021-09-17T14:38:54.052Z,2022-09-17T14:38:54.052Z,0
650745ac91edc80870982166,lola,lola@fake.com,$2a$10$FnvxwKOehpYyyN0Qi6J8zuC6N01ZnuThayewSWBwbRzM8uEQ2/dvm,false,2021-09-17T18:30:04.171Z,2022-09-17T18:30:04.171Z,0
65074a0ac8bfa628ac7b3401,admin,Admin@fake.com,$2a$10$zo2NKYQrAb2j8X3DQ8fAgeP8bEJXUXMeagb4jtQUlpUAbrFK.TSuC,true,2023-09-17T18:48:42.341Z,2023-09-17T20:23:52.575Z,0
650a0b72caa17bf9bd2a5f3e,KOKO,koko@fake.com,$2a$10$piagJp3GM7IiICX6W82OmuZPiaL5Ch9FW3PrNnfc2QXZ8wHakXhKq,false,2023-09-19T20:58:26.565Z,2023-09-19T20:58:26.565Z,0
650b4369f293f5020a16e107,coco1,coco&@fake.com,$2a$10$jZlTqeDi1DEU57z/tK8RXeqf3l2FhXruzPqAC1jHFpvra2H9NzCmy,false,2023-09-20T19:09:29.528Z,2023-10-02T13:44:29.430Z,0
650bfb846b2787a7650217c8,imane,imane@fake.com,$2a$10$SfkvTJVRgjFi7mZGmhM5QOuhTKbva6nMJ6zelkpZM1slIMt2s5Gzu,false,2023-09-21T08:15:00.811Z,2023-09-21T17:20:42.118Z,0
650c7d14316af809ccadf657,amel,amel@fake.com,$2a$10$zBnTa7n57umZbmdFkKN5sOXOkWoOjcH2ClKCb05P5ZAs47Mxv4oxm,false,2023-09-21T17:27:48.306Z,2023-09-21T17:32:26.863Z,0
